ID,latitude,longitude,DOY,maximum_temperature,minimum_temperature,wind_speed,precipitation,precipitation_severity,Crop,Area,Field
COORD:-10.012638/-48.154803DOY:1,-10.012638,-48.154803,1,29.9322012,21.5298717,1.38139659,15.7532473,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:2,-10.012638,-48.154803,2,30.0441744,21.3815279,1.3361775,12.9207395,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:3,-10.012638,-48.154803,3,30.1131305,21.3068031,1.36853524,10.6981366,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:4,-10.012638,-48.154803,4,30.2456807,21.3136025,1.39794648,12.6584935,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:5,-10.012638,-48.154803,5,30.4419296,21.4056589,1.41583195,13.4260397,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:6,-10.012638,-48.154803,6,30.7625512,21.2352806,1.38700111,12.2593397,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:7,-10.012638,-48.154803,7,30.7409121,21.2423345,1.32006178,10.6906918,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:8,-10.012638,-48.154803,8,30.5834731,21.526293,1.36260692,13.2360537,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:9,-10.012638,-48.154803,9,30.2891854,21.2766231,1.352558,11.6096083,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:10,-10.012638,-48.154803,10,30.385161,21.0173986,1.32409579,12.9133842,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:11,-10.012638,-48.154803,11,29.7396014,21.4289051,1.29815516,12.9178957,2,Soy,Breeding,SD02
COORD:-10.012638/-48.154803DOY:12,-10.012638,-48.154803,12,30.1031873,21.2438921,1.37028079,15.4918692,2,Soy,Breeding,SD02
