,p_opt,ip_opt,Temp,ip,RRDD,I,p,L,AUDPC,GDUsum,H,HSEN,LeakI,LeakL,R,LAT,CumuLeak,DIS,TOTSITES,Sev,DVS8,RAUPC,GDU,RTinc,SITEmax,RRG,RG,Rc_W,RRLEX,inocp,RcOpt,RcT,RcA,Rc,COFR,Agg,RRSEN,RSEN,RLEX,RDI,REM,RT,RDL,RI
0,10,28,28.342955,28.0,0.0001,28.0,13.565959006893797,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0,0.0,28.0,2500028.0,1.1199874561404913e-05,0.0,1.1199874561404913e-05,14.342955,14.342955,10000000,0.173,324373.78899999993,3,0.01,10,0.24,0.27175538,1.0,0.19566387359999998,0.9999944,1,0.002307,5767.5001,0.279998432,0.000100004821661,0.999948211789,0.0,0.0,6.478557780704619
1,10,28,28.51549365,28.0,0.0001,27.279950215389338,13.686087903718775,6.478557780704619,1.1199874561404913e-05,14.342955,2818599.5303437873,5767.5001,0.000100004821661,0.0,0.999948211789,0,0.000100004821661,34.75855621270462,2824401.789,1.2306519684301411e-05,0.0,1.2306519684301411e-05,14.51549365,14.51549365,10000000,0.173,349894.88303106354,3,0.01,10,0.24,0.24345904140000002,1.0,0.175290509808,0.9999876682986688,1,0.002307,6502.509216503117,0.2727961380719095,0.002727995021538934,0.999948211789,6.478557780704619,0.0006478557780704619,4.7818574116278585
2,10,28,28.6987952,28.0,0.0001,33.02862792735533,13.816063268064317,4.781209555849788,2.3506394245706324e-05,28.85844865,3161986.849504798,12270.009316503118,0.002827999843199934,0.0006478557780704619,1.999896423578,0,0.0034758556212703957,39.813209762404384,3174296.6720310636,1.2542372019981997e-05,0.0,1.2542372019981997e-05,14.6987952,14.6987952,10000000,0.173,373382.16599669924,3,0.01,10,0.24,0.21339758720000013,1.0,0.1536462627840001,0.9999874089582381,1,0.002307,7294.70376180757,0.3302821206252176,0.003302862792735533,0.999948211789,0.0,0.00047812095558497883,5.0746613498439
3,10,28,28.380982099999997,28.0,0.0001,32.35565897339881,13.592253599333667,9.855392784738104,3.604876626568832e-05,43.55724385,3528068.9067962193,19564.713078310688,0.0061308626359354666,0.0011259767336554408,2.999844635367,0,0.0072568393695909075,45.218153232873505,3547678.8380277627,1.2745841801737423e-05,0.0,1.2745841801737423e-05,14.380982099999997,14.380982099999997,10000000,0.173,393821.2424601627,3,0.01,10,0.24,0.2655189356000005,1.0,0.19117363363200035,0.9999871834777359,1,0.002307,8139.255067978878,0.32355244286375207,0.0032355658973398814,0.999948211789,0.0,0.0009855392784738105,6.185469617277366
4,10,28,28.039410249999996,28.0,0.0001,31.676027638576223,13.359658707812809,16.039876862736996,4.8794608067425744e-05,57.938225949999996,3913744.385166343,27703.968146289568,0.009366428533275347,0.0021115160121292515,3.999792847156,0,0.011477944545404599,51.727175293014625,3941500.0804879256,1.3123728082383096e-05,0.0,1.3123728082383096e-05,14.039410249999996,14.039410249999996,10000000,0.173,410207.56673561543,3,0.01,10,0.24,0.32153671900000064,1.0,0.23150643768000045,0.999986783375064,1,0.002307,9029.008396578753,0.31675608988399456,0.0031676027638576224,0.999948211789,0.0,0.0016039876862736996,7.333107398248962
5,10,28,28.09629265,28.0,0.0001,30.98966791390736,13.397839004433846,23.371380273299685,6.191833614980883e-05,71.97763619999999,4314915.293641891,36732.97654286832,0.012534031297132969,0.003715503698402951,4.999741058945,0,0.01624953499553592,59.37703878114758,4351707.6472235415,1.3644537637777914e-05,0.0,1.3644537637777914e-05,14.096292649999999,14.096292649999999,10000000,0.173,421633.92286803323,3,0.01,10,0.24,0.3122080054000002,1.0,0.22478976388800015,0.9999862393076872,1,0.002307,9954.509682431843,0.3098924147462232,0.0030989667913907362,0.999948211789,0.0,0.0023371380273299685,6.966064274148573
6,10,28,28.17637495,28.0,0.0001,30.296513150073192,13.451962796616085,30.335107409420928,7.556287378758675e-05,86.07392884999999,4726587.430870804,46687.48622530016,0.015632998088523704,0.006052641725732919,5.999689270734001,0,0.021685639814256624,66.65299547004238,4773341.570091574,1.396359227415684e-05,0.0,1.396359227415684e-05,14.17637495,14.17637495,10000000,0.173,427383.6640964997,3,0.01,10,0.24,0.29907450820000003,1.0,0.215333645904,0.9999858984824598,1,0.002307,10904.237303018945,0.302960859232616,0.0030296513150073192,0.999948211789,0.0,0.003033510740942093,6.523766638476772
7,10,28,28.0520724,28.0,0.0001,29.5964961462018,13.368138887102573,36.85584053715676,8.95264660617436e-05,100.25030379999998,5143060.030936787,57591.72352831911,0.018662649403531024,0.009086152466675011,6.999637482523001,0,0.027748801870206036,73.47972296775177,5200725.234188073,1.41287454458692e-05,0.0,1.41287454458692e-05,14.0520724,14.0520724,10000000,0.173,427015.17730168323,3,0.01,10,0.24,0.3194601264,1.0,0.23001129100799997,0.9999857130438446,1,0.002307,11865.039591371167,0.29596073302359005,0.0029596496146201802,0.999948211789,0.0,0.003685584053715676,6.807431029042997
8,10,28,28.1343805,28.0,0.0001,28.88954901782177,13.423526342416185,43.65958598214604,0.0001036552115076128,114.30237619999998,5558203.065255336,69456.76311969028,0.021622299018151204,0.012771736520390688,7.999585694312001,0,0.034394035538541895,80.58311472981836,5627740.411489757,1.431891111489392e-05,0.0,1.431891111489392e-05,14.134380499999999,14.134380499999999,10000000,0.173,420422.98499222926,3,0.01,10,0.24,0.30596159800000017,1.0,0.22029235056000013,0.9999855021586109,1,0.002307,12822.774571544061,0.28889130181722306,0.002888954901782177,0.999948211789,0.0,0.004365958598214604,6.364054393365451
9,10,28,27.9769176,28.0,0.0001,28.175603152948213,13.307735460583718,50.01927441691328,0.00011797412262250672,128.4367567,5965796.622730327,82279.53769123435,0.02451125391993338,0.017137695118605294,8.999533906101002,0,0.04164894903853868,87.23606042500103,6048163.396481986,1.4423562114036687e-05,0.0,1.4423562114036687e-05,13.9769176,13.9769176,10000000,0.173,407862.26490730245,3,0.01,10,0.24,0.33178551359999997,1.0,0.23888556979199999,0.9999853775127894,1,0.002307,13763.092908638864,0.2817519115555146,0.0028175603152948213,0.999948211789,0.0,0.005001927441691328,6.730646593192429
10,10,28,27.839000249999998,28.0,0.0001,27.454589292399433,13.156813032579823,56.74491908266401,0.0001323976847365434,142.4136743,6359888.782330486,96042.63059987321,0.0273288142352282,0.022139622560296623,9.999482117890002,0,0.049468436795524824,94.24845892974898,6456025.6613892885,1.4598526070521754e-05,0.02364049912663754,1.4598526070521754e-05,13.839000249999998,13.839000249999998,10000000,0.173,389929.5896892544,3,0.01,10,0.24,0.3544039590000003,1.0,0.2551708504800002,0.9999851810203779,1,0.002307,14672.26352083643,0.27454182443400177,0.0027454589292399433,0.999948211789,0.0,0.005674491908266402,17.005507083315514
11,10,28,27.8440091,28.0,0.0001,26.726437446115195,13.162234269194789,73.74475167407127,0.00014699621080706515,156.25267455,6735128.828449996,110714.89412070965,0.030074273164468146,0.027814114468563023,10.999430329679003,0,0.05788838763303117,111.5285078374985,6845955.251078543,1.629115349825399e-05,0.08407281462882094,1.629115349825399e-05,13.844009100000001,13.844009100000001,10000000,0.173,367502.13046400255,3,0.01,10,0.24,0.3535825075999998,1.0,0.25457940547199986,0.99998344105007,1,0.002307,15537.942307234141,0.2672599488437572,0.0026726437446115197,0.999948211789,0.0,0.007374475167407127,16.80388788831208
12,10,28,27.95767385,28.0,0.0001,25.99107653942534,13.286469574651072,90.54126508721595,0.00016328736430531914,170.09668365,7087075.945458927,126252.8364279438,0.03274691690907967,0.03518858963597015,11.999378541468003,0,0.06793550654504982,128.59965567465434,7213457.381542546,1.782774179878141e-05,0.1445270028384279,1.782774179878141e-05,13.957673849999999,13.957673849999999,10000000,0.173,341647.997507201,3,0.01,10,0.24,0.33494148860000017,1.0,0.2411578717920001,0.9999818546713509,1,0.002307,16349.884306173744,0.2599060492279959,0.002599107653942534,0.999948211789,0.0,0.009054126508721595,16.26783896976903
