,p_opt,ip_opt,Temp,ip,RRDD,I,p,L,AUDPC,GDUsum,H,HSEN,LeakI,LeakL,R,LAT,CumuLeak,DIS,TOTSITES,Sev,DVS8,RAUPC,GDU,RTinc,SITEmax,RRG,RG,Rc_W,RRLEX,inocp,RcOpt,RcT,RcA,Rc,COFR,Agg,RRSEN,RSEN,RLEX,RDI,REM,RT,RDL,RI
0,7,28,28.342955,28.0,0.0001,28.0,9.496171304825658,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0,0.0,28.0,2500028.0,1.1199874561404913e-05,0.0,1.1199874561404913e-05,14.342955,14.342955,10000000,0.173,324373.78899999993,3,0.01,10,0.33999999999999997,0.27175538,1.0,0.2771904876,0.9999944,1,0.002307,5767.5001,0.279998432,0.000100004821661,0.999948211789,0.0,0.0,8.761290189331543
1,7,28,28.51549365,28.0,0.0001,27.279950215389338,9.580261532603142,8.761290189331543,1.1199874561404913e-05,14.342955,2818597.247611379,5767.5001,0.000100004821661,0.0,0.999948211789,0,0.000100004821661,37.041288621331546,2824401.789,1.3114737699711727e-05,0.0,1.3114737699711727e-05,14.51549365,14.51549365,10000000,0.173,349894.5996575724,3,0.01,10,0.33999999999999997,0.24345904140000002,1.0,0.248328222228,0.9999868584268746,1,0.002307,6502.503950239451,0.27279591713928725,0.002727995021538934,0.999948211789,8.761290189331543,0.0008761290189331543,6.7742925134256
2,7,28,28.6987952,28.0,0.0001,35.31136011504963,9.671244287645022,6.773416384406667,2.431461226111664e-05,28.85844865,3161982.2962302812,12270.004050239451,0.002827999843199934,0.0008761290189331543,1.999896423578,0,0.003704128862133088,44.08837705189643,3174296.3886575727,1.3889180988087141e-05,0.0,1.3889180988087141e-05,14.6987952,14.6987952,10000000,0.173,373381.6438259714,3,0.01,10,0.33999999999999997,0.21339758720000013,1.0,0.21766553894400012,0.9999860569230964,1,0.002307,7294.693257403259,0.3531086776603998,0.003531136011504963,0.999948211789,0.0,0.0006773416384406667,7.685959062875413
3,7,28,28.380982099999997,28.0,0.0001,34.660989444909525,9.514577519533566,14.458698105643638,3.8203793249203784e-05,43.55724385,3528061.2077311086,19564.69730764271,0.006359135854704897,0.0015534706573738211,2.999844635367,0,0.007912606512078719,52.12744479243224,3547678.0324835437,1.4693397854917671e-05,0.0,1.4693397854917671e-05,14.380982099999997,14.380982099999997,10000000,0.173,393820.43221757904,3,0.01,10,0.33999999999999997,0.2655189356000005,1.0,0.2708293143120005,0.999985225121803,1,0.002307,8139.237306235668,0.34660477333012285,0.003466098944490953,0.999948211789,0.0,0.001445869810564364,9.387073309826354
4,7,28,28.039410249999996,28.0,0.0001,34.004179907506156,9.351761095468968,23.84432554565943,5.289719110412145e-05,57.938225949999996,3913732.6689643688,27703.934613878377,0.00982523479919585,0.0029993404679381852,3.999792847156,0,0.012824575267134035,61.86112287558872,3941498.4647011226,1.569482353718982e-05,0.0,1.569482353718982e-05,14.039410249999996,14.039410249999996,10000000,0.173,410206.44813749095,3,0.01,10,0.33999999999999997,0.32153671900000064,1.0,0.3279674533800006,0.9999841940800929,1,0.002307,9028.981367300798,0.3400364244016203,0.003400417990750616,0.999948211789,0.0,0.002384432554565943,11.15208801674405
5,7,28,28.09629265,28.0,0.0001,33.34086770212802,9.378487303103693,34.99402912984891,6.859201464131127e-05,71.97763619999999,4314898.643610118,36732.915981179176,0.013225652789946467,0.0053837730225041285,4.999741058945,0,0.018609425812450595,73.35324731673438,4351704.912838614,1.6856208953949066e-05,0.0,1.6856208953949066e-05,14.096292649999999,14.096292649999999,10000000,0.173,421632.5000182307,3,0.01,10,0.33999999999999997,0.3122080054000002,1.0,0.3184521655080002,0.9999830002958605,1,0.002307,9954.47127080854,0.33340300917241333,0.0033340867702128024,0.999948211789,0.0,0.0034994029129848912,10.617291025783869
6,7,28,28.17637495,28.0,0.0001,32.670988412741224,9.41637395763126,45.607820752719796,8.544822359526033e-05,86.07392884999999,4726565.721663505,46687.38725198772,0.01655973956015927,0.00888317593548902,5.999689270734001,0,0.02544291549564829,84.30394135169067,4773337.412856844,1.766142513299405e-05,0.0,1.766142513299405e-05,14.17637495,14.17637495,10000000,0.173,427382.0410594904,3,0.01,10,0.33999999999999997,0.29907450820000003,1.0,0.305055998364,0.9999821641245078,1,0.002307,10904.187219877706,0.3267040569705969,0.0032670988412741224,0.999948211789,0.0,0.00456078207527198,9.966303226873455
7,7,28,28.0520724,28.0,0.0001,31.994477159081548,9.3576972209718,55.56956319751798,0.00010310964872825439,100.25030379999998,5143033.282495834,57591.574471865424,0.019826838401433393,0.013443958010760999,6.999637482523001,0,0.033270796412194395,94.59694863553472,5200719.4539163355,1.8189204296397817e-05,0.0,1.8189204296397817e-05,14.0520724,14.0520724,10000000,0.173,427013.470743395,3,0.01,10,0.33999999999999997,0.3194601264,1.0,0.32584932892799995,0.9999816071171371,1,0.002307,11864.977882717889,0.319938886884109,0.003199447715908155,0.999948211789,0.0,0.005556956319751798,10.425187158915822
8,7,28,28.1343805,28.0,0.0001,31.31126838646075,9.39646843969133,65.98919340011405,0.0001212988530246522,114.30237619999998,5558171.030230465,69456.55235458331,0.023026286117341546,0.0190009143305128,7.999585694312001,0,0.042027200447854345,105.34207468133465,5627732.92465973,1.871838555446445e-05,0.0,1.871838555446445e-05,14.134380499999999,14.134380499999999,10000000,0.173,420421.28176635114,3,0.01,10,0.33999999999999997,0.30596159800000017,1.0,0.31208082996000014,0.9999810477083856,1,0.002307,12822.700666741683,0.3131067496617147,0.003131126838646075,0.999948211789,0.0,0.006598919340011405,9.771461430050593
9,7,28,27.9769176,28.0,0.0001,30.621295797494817,9.315414822408604,75.75405591082463,0.00014001723857911665,128.4367567,5965759.526761895,82279.253021325,0.02615741295598762,0.025599833670524205,8.999533906101002,0,0.05175724662651182,115.42664286104696,6048154.206426081,1.908460646363939e-05,0.0,1.908460646363939e-05,13.9769176,13.9769176,10000000,0.173,407860.6772596203,3,0.01,10,0.33999999999999997,0.33178551359999997,1.0,0.33842122387199997,0.9999806521853437,1,0.002307,13763.007328239692,0.30620703342339195,0.0030621295797494817,0.999948211789,0.0,0.007575405591082464,10.362695900935869
