ID,latitude,longitude,DOY,maximum_temperature,minimum_temperature,wind_speed,precipitation,precipitation_severity,Crop,Area,Field
COORD:36.2363/59.6311DOY:1,36.2363,59.6311,1,29.932201,21.529872,1.381397,15.753247,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:2,36.2363,59.6311,2,30.044174,21.381528,1.336178,12.920739,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:3,36.2363,59.6311,3,30.113131,21.306803,1.368535,10.698137,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:4,36.2363,59.6311,4,30.245681,21.313602,1.397946,12.658494,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:5,36.2363,59.6311,5,30.44193,21.405659,1.415832,11.356,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:6,36.2363,59.6311,6,13.4,-2,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:7,36.2363,59.6311,7,7,4.7,4,0.9,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:8,36.2363,59.6311,8,7.8,2.3,4.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:9,36.2363,59.6311,9,9.2,-1.9,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:10,36.2363,59.6311,10,11.6,-4.6,3.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:11,36.2363,59.6311,11,7.5,0.1,1.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:12,36.2363,59.6311,12,13.4,-2.7,1.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:13,36.2363,59.6311,13,16.7,0.1,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:14,36.2363,59.6311,14,9.5,-3,1.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:15,36.2363,59.6311,15,8.3,-3,3.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:16,36.2363,59.6311,16,6.4,-1.2,4,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:17,36.2363,59.6311,17,7.6,-3.6,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:18,36.2363,59.6311,18,11.1,-2.4,1.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:19,36.2363,59.6311,19,16.2,-3,2.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:20,36.2363,59.6311,20,18.1,-0.8,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:21,36.2363,59.6311,21,12.6,2.3,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:22,36.2363,59.6311,22,15.4,-0.8,1.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:23,36.2363,59.6311,23,18.9,0.3,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:24,36.2363,59.6311,24,17.8,-2.1,1,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:25,36.2363,59.6311,25,15.3,1.4,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:26,36.2363,59.6311,26,12.1,-0.9,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:27,36.2363,59.6311,27,5.6,2.8,4,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:28,36.2363,59.6311,28,-3.2,-5.8,5.25,0.5,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:29,36.2363,59.6311,29,0.3,-11,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:30,36.2363,59.6311,30,6.3,-10,1.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:31,36.2363,59.6311,31,8.2,-4.1,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:32,36.2363,59.6311,32,18.6,-5,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:33,36.2363,59.6311,33,8.4,-0.1,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:34,36.2363,59.6311,34,11.6,-4.5,1.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:35,36.2363,59.6311,35,13.3,-3.2,1.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:36,36.2363,59.6311,36,14.4,-3.3,1.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:37,36.2363,59.6311,37,17.9,4.9,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:38,36.2363,59.6311,38,12,1.6,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:39,36.2363,59.6311,39,9.2,-3.9,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:40,36.2363,59.6311,40,6.9,-7.7,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:41,36.2363,59.6311,41,11.3,-5.7,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:42,36.2363,59.6311,42,11,-2.2,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:43,36.2363,59.6311,43,15.1,-2.2,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:44,36.2363,59.6311,44,14.8,6.4,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:45,36.2363,59.6311,45,21.6,6.7,7.25,0.3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:46,36.2363,59.6311,46,11.6,2.9,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:47,36.2363,59.6311,47,11.1,-1.6,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:48,36.2363,59.6311,48,12.1,0.3,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:49,36.2363,59.6311,49,15,3.6,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:50,36.2363,59.6311,50,18.9,5.9,3.12,8,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:51,36.2363,59.6311,51,7.9,3.9,3.62,14.1,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:52,36.2363,59.6311,52,14,5.1,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:53,36.2363,59.6311,53,14.8,7,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:54,36.2363,59.6311,54,14.3,7.9,4.38,2,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:55,36.2363,59.6311,55,11.7,5.2,2.38,3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:56,36.2363,59.6311,56,15.6,6.7,2.25,5.3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:57,36.2363,59.6311,57,16.8,9.7,3.5,0.8,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:58,36.2363,59.6311,58,19.2,5.2,2.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:59,36.2363,59.6311,59,18,7.7,3.12,3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:60,36.2363,59.6311,60,12.3,8.2,2.88,19.9,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:61,36.2363,59.6311,61,15.3,6.7,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:62,36.2363,59.6311,62,15.1,5.1,4,3,2,Soy,Mashhad,40745
