ID,latitude,longitude,DOY,maximum_temperature,minimum_temperature,wind_speed,precipitation,precipitation_severity,Area,Field,Crop
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,1,-2.983404541,-10.92072144,9.657891512,0.068253838,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,2,-2.936895752,-11.02628174,8.001298825,0.008855946,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,3,-3.521276855,-5.192694092,7.905159672,0.161961652,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,4,-4.580664062,-13.22553101,4.919397394,0.032471493,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,5,-3.159338379,-8.142156982,11.49314022,0.007380731,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,6,-1.115942383,-4.38840332,9.216525555,1.014169335,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,7,0.90355835,-1.185064697,5.482420842,1.992558122,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,8,0.884729004,-0.40592041,4.774945895,5.196277082,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,9,-0.165869141,-17.31482544,10.21611361,1.131491743,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,10,-17.65915527,-23.9891571,8.166440169,0.015501864,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,11,-14.82279053,-27.78691711,4.08654209,0.293298624,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,12,-13.5887207,-21.4632019,9.35560902,0.708338812,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,13,-7.482397461,-20.66268005,6.045606454,0.14867913,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,14,-1.637487793,-8.633520508,4.297109564,0.000368804,4,Breeding,Field_44.26405373_-92.9375238,Soy
ID_44.26405373_-92.9375238,44.26405373,-92.9375238,15,-2.51340332,-7.592993164,8.487982909,0.385159627,3,Breeding,Field_44.26405373_-92.9375238,Soy
